index,post,label
0,as of march 13th 2014 the booklet had been downloaded over 18 300 times and counting,0
1,in order to help increase the booklets downloads it would be great if all stormfronters who had youtube accounts could display the following text in the description boxes of their uploaded youtube videos,0
2,simply copy and paste the following text into your youtube videos description boxes,0
3,click below for a free download of a colorfully illustrated 132 page e book on the zionist engineered intentional destruction of western civilization,1
4,click on the download 7 42 mb green banner link,0
5,booklet updated on feb 14th 2014,0
6,now with over 18 300 downloads,0
7,then why not simply copy this text links and paste it into the description box of your youtube videos,0
8,thank you in advance download the youtube description box info text file below http www mediafire com download dqhn1czprr17o21 booklet description box _ info txt,0
9,she may or may not be a jew but she s certainly stupid she seems to think the blacks wo n t kill her alongside every other white they can get their dirty hands on what a muppet,1
10,thank you for the info i will deffinetly look into them,0
11,i hope there is room for one more as i am very excited about this,0
12,i just came across this piece of garbage,0
13,comments say she is from sa,0
14,die antwoord cookie thumper official video youtube,0
15,the whites are more in the range of 4 8 million,0
16,i believe this can be higher since i ve read reports that especially whites in the free state were not counted in the latest census,0
17,thank you for posting your story,0
18,i think you should write a book as well,0
19,i ve always considered teaching as one of the professions i would like to get into but not in a neighbourhood like that never kids like that disgust me,1
20,and the sad thing is the white students at those schools will act like that too,1
21,i guess i ll just stick to homeschooling my kids when and if i have them,0
22,randy blazak is an expert all right he teaches sociology of star trek a credited class students actually pay for,0
23,no wonder young people ca n t get jobs,0
24,they take underwater basket weaving courses and they have no worthwhile skills on account of angry still my favorite comment,0
25,old tarzan movies zulu and king kong have many such images,0
26,national geographic magazines in the 1950s and early 1960s are replete with color photos of african villagers,0
27,dr albert schweitzer s two hour documentary from 1958 was shown in movie theaters everywhere,0
28,i think vhs tapes are available at amazon,0
29,their gods often had pale skin and blue eyes but i suppose literacy is n t valued highly by their cultural intelligencia,1
30,when the girl starts talking the guy in the middles lips start moving,0
31,he was checking her lines bad actors ca n t help themselves from doing this,0
32,this whole situation starts to become really bizarre,0
33,i was a right sector supporter but it starts to sound as if they are in fact just israeli agents,0
34,i do n t know who to support anymore,0
35,i ve read many post on here saying israel gives training to us law enforcement,0
36,i remember after the boston marathon bombings watching fox news and they said law enforcement was consulting israel for advice,0
37,i believe his dog would like to get as far away from him as possible,0
38,free north carolina peterson s particulars vikinginme,0
39,so according to section c what few jobs there are in our areas will be given to these people as well thanks for posting this,0
40,greece need a man like adolf hitler and now is the perfect time to start a national political movement to free your country from the zionist bankers,1
41,the image below is for the first week of march 2011 freeman in court judge bows to sovereign canada youtube freeman in court judge bows to sovereign canada,0
42,i do n t watch t v or hollywood movies,0
43,i know of chris rock and subsequently have hated him for a long time,0
44,he is a pathetic little chimp,1
45,declaring war on the innocent white population of any nation could easily be justified by anyone who was not a white nationalist,0
46,seekers of truth start out by watching the benjamin freedman speaks video youtube,0
47,com watch v hxbcyx97jgm then move on to watching the loss of liberty film youtube,0
48,com watch v kbd6gm6vodm then watch 8 min obama at aipac youtube,0
49,com watch v krdycxpb4fs and then the entire myron fagan video youtube,0
50,com watch v 6ok6ks7bsoy for a free informative booklet video on the zionist engineered intentional destruction of white people go to youtube,0
51,com watch v n663evtsys8,0
52,wntube is now net not com,0
53,they have improved the site,0
54,please contribute and or donate,0
55,http www wntube net play php vid 1428 code 108,0
56,try el paso texas soo much mudd invasion that the river is the same color as those playing crossing in it year round,1
57,welcome to the front lines,0
58,folk faith family hail victory,0
59,here is a video of the event that is worth watching just to see a beautiful white lady screaming scum scum scum f ing scum at the muslim filth,1
60,protesters clash during military parade in barking,0
61,does this not show how stupid these folks can be,0
62,let s order a pizza to be delivered where we are and then try to assault the driver no one will know how to catch us,0
63,nice to know that are still a few men out there who have a pair,0
64,your courage and honestly are apprecated,0
65,jesus christ is lord indeed,0
66,y all have a nice day,0
67,i suppose the concept of a male cow and a female cow producing more cows and the repeating process is too much for them to understand,1
68,may they all get mad cow disease,1
69,the sooner the better,0
70,yeah but no one will ever hear of this,0
71,instead we are left to shed a tear for the black kids killed in a church bombing 40 years ago,0
72,that s all i needed to hear,0
73,unsubscribed off to the sa threads,0
74,there are white folks that require a little of our time,0
75,i guess mr pena forgot about the black speed skater who won the gold and is being glorified on nbc every 5 minutes,0
76,i m sad to find this out right now but i m also sorry to inform you that kevin was killed several years ago,0
77,http www visioncircle org archive 003870 html,0
78,i m having a hard time believing this,0
79,i have 2 friends in cs and neither has ever worked with a black,0
80,all their coworkers are white ne asian or indian paki except one guy worked with a mestizo for a few weeks on a project,0
81,hundreds of people but no blacks,0
82,over and over you hear about home schooled kids beating out public school kids for spelling bees,0
83,unfortunately there are some poor white families where both parents work,0
84,perhaps if a school district has only a few white families left they could get together and each parent could teach the kids one day per week,0
85,the parents who could n t teach on weekdays could teach on saturday,0
86,that was me,0
87,i have no intention of ever setting foot in mexico so i ll have to take your word for it,0
88,excellent article why were n t they in jail,0
89,three of the four suspects in the death of a 12 year old moore county girl were repeat offenders free on probation,0
90,steve reed reporter three of the suspects charged with the murder of a 12 year old moore county girl were given suspended sentences for other crimes and were free on probation at the time of her slaying,0
91,perry ross schiro 19 of harnett county was charged yesterday with murder in the sept 21 shooting death of emily elizabeth haddock,0
92,he is the fourth suspect to be charged with her murder,0
93,also charged are sherrod nicholas harrison 19 michael graham currie 18 and van roger smith 16 all of cameron in harnett county,0
94,two of the suspects mr harrison and mr currie were repeat probation violators,0
95,only mr smith had no prior criminal record,0
96,mr schiro the latest suspect to be charged in the killing was arrested when a 22 caliber handgun possibly the murder weapon was found in his car,0
97,he was also charged with burglary larceny and possession of stolen property,0
98,all four suspects are being held without bond in the moore county jail,0
99,the rest of the story,0
100,nevermind found the new page knew it had to be a groid any report of rape,1
101,surprised it came back so fast,0
102,http www wral com news local story 1850536,0
103,obama has membership in prince hall for blacks lodge and will become the next president according to this guy youtube http www youtube com watch v _ nlfrsregii zagami youtube,0
104,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid i cant believe that they are doing this by the millions its crazy,1
105,i hope they all starve,1
106,no white person should send a single penny or lift a single finger to help them,1
107,he s a retarded feral negro yes feral humans who cannot talk occasionally pop up having been abandoned as children,1
108,he walks upright and has human arms and legs,1
109,i ve seen negroes who look and undoubtedly act like him,1
110,http www occultopedia com f feral_children htmhttp www ling lancs ac uk chimp la e4 4kamala htmhttp www occultopedia com w wildpeter htm aragorn,0
111,again every time i will see filthy comment about georgia without providing any facts i will respond,0
112,i will respond until armenian scum will stop,1
113,the reason large white families were encouraged those days was to build up the population of white germans which were ravaged by the jewish attacks at them during ww1 and in hyperinflation 1920 s,0
114,i see a nation where i can walk out my front door and not feel like a minority in my own country,0
115,where a white woman can go about in public and not fear assault by muds,1
116,no i see that as giving up,0
117,i hope one day to proudly say again that i am an american when we take this country back,0
118,ok i have been through some of the other threads on this section about ns and watched a few videos on yt,0
119,it has obviously been misunderstood and i would been keen to learn more,0
120,i retract always always because an animal lacks the skills to properly raise a half human child,1
121,i apologize for my ignorance,0
122,i do n t think anyone is insinuating that we are equal to non whites or that we would ignore white nations,0
